both_correct,both_not_correct,ir_only_correct,ir_soft_accuracy,ir_strict_accuracy,model_name,paired_excluded,paired_judgeable,paired_total,provider,rgb_minus_ir_soft_pp,rgb_minus_ir_strict_pp,rgb_only_correct,rgb_soft_accuracy,rgb_strict_accuracy,semantic_section
297,332,49,0.5285118219749653,0.4812239221140473,models/internvl/InternVL3_5-4B-Instruct,0,719,719,internvl,0.2781641168289273,-1.1126564673157147,41,0.5312934631432545,0.47009735744089015,action
342,223,60,0.5971810089020771,0.5964391691394659,models/internvl/InternVL3_5-4B-Instruct,0,674,674,internvl,-1.6320474777448024,-1.6320474777448135,49,0.5808605341246291,0.5801186943620178,counting
256,339,60,0.47193500738552435,0.4667651403249631,models/internvl/InternVL3_5-4B-Instruct,0,677,677,internvl,-5.686853766617428,-5.612998522895124,22,0.4150664697193501,0.41063515509601184,dynamic_counting
207,303,34,0.44582593250444047,0.4280639431616341,models/internvl/InternVL3_5-4B-Instruct,0,563,563,internvl,-0.9769094138543488,-2.6642984014209556,19,0.436056838365897,0.40142095914742454,dynamic_recognition
150,241,19,0.3828125,0.37723214285714285,models/internvl/InternVL3_5-4B-Instruct,0,448,448,internvl,4.129464285714285,4.241071428571431,38,0.42410714285714285,0.41964285714285715,light_change
32,50,10,0.4423076923076923,0.40384615384615385,models/internvl/InternVL3_5-4B-Instruct,0,104,104,internvl,3.3653846153846145,1.9230769230769218,12,0.47596153846153844,0.4230769230769231,light_recognition
169,326,18,0.3674812030075188,0.35150375939849626,models/internvl/InternVL3_5-4B-Instruct,0,532,532,internvl,0.9398496240601517,0.1879699248120259,19,0.3768796992481203,0.3533834586466165,navigation
196,22,12,0.8914893617021277,0.8851063829787233,models/internvl/InternVL3_5-4B-Instruct,0,235,235,internvl,-2.9787234042553234,-2.9787234042553123,5,0.8617021276595744,0.8553191489361702,non_common
66,98,14,0.4601990049751244,0.39800995024875624,models/internvl/InternVL3_5-4B-Instruct,0,201,201,internvl,4.228855721393038,4.4776119402985035,23,0.5024875621890548,0.4427860696517413,object_recognition
174,329,36,0.4172473867595819,0.36585365853658536,models/internvl/InternVL3_5-4B-Instruct,0,574,574,internvl,-0.4355400696864131,-0.17421602787456303,35,0.41289198606271776,0.3641114982578397,scene_sequence
108,67,12,0.5911330049261084,0.5911330049261084,models/internvl/InternVL3_5-4B-Instruct,0,203,203,internvl,2.709359605911321,1.9704433497536922,16,0.6182266009852216,0.6108374384236454,spatial_reasoning
144,205,25,0.43640897755610975,0.42144638403990026,models/internvl/InternVL3_5-4B-Instruct,0,401,401,internvl,0.997506234413964,0.49875311720697924,27,0.4463840399002494,0.42643391521197005,text_recognition
353,244,58,0.6022253129346314,0.5716272600834492,models/molmo2/Molmo2-4B,0,719,719,molmo2,1.0431154381084884,0.8344923504867929,64,0.6126564673157163,0.5799721835883171,action
148,396,52,0.29673590504451036,0.29673590504451036,models/molmo2/Molmo2-4B,0,674,674,molmo2,4.005934718100895,3.857566765578635,78,0.3367952522255193,0.3353115727002967,counting
362,235,42,0.5989660265878878,0.5967503692762186,models/molmo2/Molmo2-4B,0,677,677,molmo2,-0.22156573116691725,-0.5908419497784312,38,0.5967503692762186,0.5908419497784343,dynamic_counting
271,228,33,0.547153024911032,0.5409252669039146,models/molmo2/Molmo2-4B,1,562,563,molmo2,0.0,-0.5338078291814985,30,0.547153024911032,0.5355871886120996,dynamic_recognition
191,204,20,0.47098214285714285,0.47098214285714285,models/molmo2/Molmo2-4B,0,448,448,molmo2,2.9017857142857153,2.9017857142857153,33,0.5,0.5,light_change
29,44,14,0.42788461538461536,0.41346153846153844,models/molmo2/Molmo2-4B,0,104,104,molmo2,2.4038461538461564,2.8846153846153855,17,0.4519230769230769,0.4423076923076923,light_recognition
224,236,28,0.48872180451127817,0.47368421052631576,models/molmo2/Molmo2-4B,0,532,532,molmo2,3.853383458646614,3.0075187969924864,44,0.5272556390977443,0.5037593984962406,navigation
108,90,17,0.5361702127659574,0.5319148936170213,models/molmo2/Molmo2-4B,0,235,235,molmo2,1.0638297872340385,1.276595744680853,20,0.5468085106382978,0.5446808510638298,non_common
76,76,16,0.51,0.46,models/molmo2/Molmo2-4B,1,200,201,molmo2,9.750000000000004,8.000000000000002,32,0.6075,0.54,object_recognition
174,301,49,0.416958041958042,0.38986013986013984,models/molmo2/Molmo2-4B,2,572,574,molmo2,1.0489510489510467,-0.17482517482517168,48,0.42744755244755245,0.3881118881118881,scene_sequence
113,63,12,0.6231527093596059,0.6157635467980296,models/molmo2/Molmo2-4B,0,203,203,molmo2,1.2315270935960632,1.4778325123152691,15,0.6354679802955665,0.6305418719211823,spatial_reasoning
154,176,29,0.4688279301745636,0.456359102244389,models/molmo2/Molmo2-4B,0,401,401,molmo2,3.8653366583541127,3.2418952618453845,42,0.5074812967581047,0.48877805486284287,text_recognition
376,230,47,0.6356050069541029,0.588317107093185,models/qwen/Qwen3-VL-4B-Instruct,0,719,719,qwen_vl,2.9902642559109904,2.6425591098748313,66,0.6655076495132128,0.6147426981919333,action
317,255,53,0.5497032640949555,0.5489614243323442,models/qwen/Qwen3-VL-4B-Instruct,0,674,674,qwen_vl,-0.667655786350152,-0.5934718100890191,49,0.543026706231454,0.543026706231454,counting
448,173,18,0.6905465288035451,0.6883308714918759,models/qwen/Qwen3-VL-4B-Instruct,0,677,677,qwen_vl,3.101920236336775,2.954209748892178,38,0.7215657311669128,0.7178729689807977,dynamic_counting
263,236,34,0.5435168738898757,0.5275310834813499,models/qwen/Qwen3-VL-4B-Instruct,0,563,563,qwen_vl,-0.2664298401421017,-0.7104795737122527,30,0.5408525754884547,0.5204262877442274,dynamic_recognition
216,171,25,0.5401785714285714,0.5379464285714286,models/qwen/Qwen3-VL-4B-Instruct,0,448,448,qwen_vl,2.79017857142857,2.4553571428571397,36,0.5680803571428571,0.5625,light_change
38,32,10,0.5,0.46601941747572817,models/qwen/Qwen3-VL-4B-Instruct,1,103,104,qwen_vl,12.135922330097081,12.621359223300965,23,0.6213592233009708,0.5922330097087378,light_recognition
250,203,42,0.5743879472693032,0.5499058380414312,models/qwen/Qwen3-VL-4B-Instruct,1,531,532,qwen_vl,-0.6591337099811634,-1.1299435028248594,36,0.5677966101694916,0.5386064030131826,navigation
216,16,1,0.9234042553191489,0.9234042553191489,models/qwen/Qwen3-VL-4B-Instruct,0,235,235,qwen_vl,0.8510638297872353,0.42553191489361764,2,0.9319148936170213,0.9276595744680851,non_common
85,76,14,0.5825,0.495,models/qwen/Qwen3-VL-4B-Instruct,1,200,201,qwen_vl,2.500000000000002,5.500000000000005,25,0.6075,0.55,object_recognition
208,254,56,0.5043554006968641,0.45993031358885017,models/qwen/Qwen3-VL-4B-Instruct,0,574,574,qwen_vl,0.9581881533101022,0.0,56,0.5139372822299652,0.45993031358885017,scene_sequence
97,73,14,0.5517241379310345,0.5467980295566502,models/qwen/Qwen3-VL-4B-Instruct,0,203,203,qwen_vl,3.4482758620689613,2.463054187192115,19,0.5862068965517241,0.5714285714285714,spatial_reasoning
172,162,29,0.516209476309227,0.5012468827930174,models/qwen/Qwen3-VL-4B-Instruct,0,401,401,qwen_vl,2.493765586034913,2.244389027431426,38,0.5411471321695761,0.5236907730673317,text_recognition
