both_correct,both_not_correct,ir_only_correct,ir_soft_accuracy,ir_strict_accuracy,model_name,paired_excluded,paired_judgeable,paired_total,provider,rgb_minus_ir_soft_pp,rgb_minus_ir_strict_pp,rgb_only_correct,rgb_soft_accuracy,rgb_strict_accuracy
2141,2535,349,0.48818232976927406,0.4670793472144063,models/internvl/InternVL3_5-4B-Instruct,0,5331,5331,internvl,-0.32826861752016656,-0.8066028887638355,306,0.4848996435940724,0.45901331832676795
2203,2293,370,0.49605781865965837,0.48301107565233714,models/molmo2/Molmo2-4B,4,5327,5331,molmo2,2.1588135911394746,1.708278580814715,461,0.5176459545710531,0.5000938614604843
2686,1881,343,0.5896208708708709,0.568506006006006,models/qwen/Qwen3-VL-4B-Instruct,3,5328,5331,qwen_vl,1.6422672672672611,1.4076576576576572,418,0.6060435435435435,0.5825825825825826
