anls,answer_rate,answered,bleu_4,character_f1,conciseness_violation_rate,frame_counts,incremental_peak_gpu_gb_max,judge_evaluated,judge_label_counts,judge_soft_accuracy,judge_strict_accuracy,judge_strict_accuracy_ci95,judge_unjudgeable_rate,latency_mean_seconds,latency_median_seconds,latency_p95_seconds,max_frames_per_item,meteor,modality,model_key,normalized_exact_match,peak_gpu_gb_max,repetition_rate,rouge_l_f1,status_counts,task_aware_score,task_aware_score_ci95,throughput_qa_per_hour,token_f1,token_f1_ci95,total
0.12221034762317985,1.0,5331,0.40767932583376565,0.30584237067361814,0.03282686175201651,[8],4.84,5331,"{""incorrect"": 3591, ""correct"": 1672, ""partially_correct"": 67, ""unjudgeable"": 1}",0.3199812382739212,0.3136960600375234,"{""mean"": 0.3136960600375234, ""low"": 0.30150093808630396, ""high"": 0.32626641651031896}",0.00018758206715438003,2.36352050271994,2.2855,2.6903,[],0.09008309442283026,depth,molmo2:Molmo2-4B:frame:6f7c0530,0.11217407615831926,13.883,0.008253610954792722,0.17262376687747738,"{""answered"": 5331}",0.27025989386929344,"{""mean"": 0.27025989386929344, ""low"": 0.25879865283117465, ""high"": 0.2819234823796529}",1523.1515850432093,0.17402301156043307,"{""mean"": 0.17402301156043307, ""low"": 0.16567614930749347, ""high"": 0.18261368796237565}",5331
0.1725025867327492,1.0,5331,0.42938570418001587,0.35232035864069666,0.03245169761770775,[8],4.84,5331,"{""correct"": 2218, ""incorrect"": 2989, ""partially_correct"": 123, ""unjudgeable"": 1}",0.4276735459662289,0.41613508442776737,"{""mean"": 0.41613508442776737, ""low"": 0.40187617260787994, ""high"": 0.42851782363977486}",0.00018758206715438003,2.3547145000937912,2.2839,2.6728,[],0.12270238429331384,event,molmo2:Molmo2-4B:frame:6f7c0530,0.15625586193959856,13.883,0.006377790283248921,0.23399222656635543,"{""answered"": 5331}",0.33850378086896526,"{""mean"": 0.33850378086896526, ""low"": 0.3262945280051724, ""high"": 0.35053966402398135}",1528.8477647105924,0.2355335626677883,"{""mean"": 0.2355335626677883, ""low"": 0.2259514556802344, ""high"": 0.24473866236351585}",5331
0.1983771597298051,1.0,5331,0.44806593528049116,0.37400086235194313,0.024948414931532544,[8],4.84,5331,"{""correct"": 2574, ""incorrect"": 2618, ""partially_correct"": 139}",0.49587319452260364,0.48283624085537424,"{""mean"": 0.48283624085537424, ""low"": 0.46970549615456764, ""high"": 0.49671731382479833}",0.0,2.3522351528793846,2.2846,2.6363,[],0.14080497265525846,ir,molmo2:Molmo2-4B:frame:6f7c0530,0.18195460513974865,13.883,0.006940536484712062,0.26719649685398417,"{""answered"": 5331}",0.37164421383757495,"{""mean"": 0.37164421383757495, ""low"": 0.35953842904101885, ""high"": 0.3839419699657277}",1530.459229636632,0.2689937674513511,"{""mean"": 0.2689937674513511, ""low"": 0.25860000847908565, ""high"": 0.27930334329442436}",5331
0.20223670810859143,1.0,5331,0.4462626351101447,0.3814067769467462,0.034515100356405926,[8],4.847,5331,"{""correct"": 2664, ""incorrect"": 2476, ""partially_correct"": 187, ""unjudgeable"": 4}",0.5176459545710531,0.5000938614604843,"{""mean"": 0.5000938614604843, ""low"": 0.48620236530880423, ""high"": 0.5134221888492585}",0.0007503282686175201,2.3588434627649595,2.2825,2.7087,[],0.15126391266865358,rgb,molmo2:Molmo2-4B:frame:6f7c0530,0.18476833614706434,13.883,0.006565372350403302,0.2758175048609749,"{""answered"": 5331}",0.38650290310372604,"{""mean"": 0.38650290310372604, ""low"": 0.3740106961031085, ""high"": 0.3990119230603277}",1526.1716416655256,0.2781354096533994,"{""mean"": 0.2781354096533994, ""low"": 0.2683485736021351, ""high"": 0.2883189767872907}",5331
